'JSP400.adjointAction_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.adjointAction_matrix_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.conjugate_unipotentOne_of_adjoint_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_principalNormalizer_of_adjoint_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principal_adjoint_fixed_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.gramShear_fixed_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.coadjointForm_unipotentOne' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_principalNormalizer_of_fixed_orbit' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalCoordinates_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalCoordinates_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalCoordinates_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_principalFlag' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalFlag_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_principalFlag_fourteen' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalAction_unipotentOne' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalCoordinates_from_blocks' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalAction_sub_mem_previousFlag' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalFlag_four_fixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalFlag_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalFlag_step_coordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalFlag_step_coordinate_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.continuous_principalCoordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.isClosed_principalFlag' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principal_adjoint_has_linear_coordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shearCoordinate_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.exists_unbounded_principal_curve' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalLayer_inter_fixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalOrbit_mem_flag' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upper_limit_principal_orbits_previousFlag' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principal_fixed_component_noncompact_of_layer' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.isOpen_principalSectionDomain' depends on axioms: [propext, Classical.choice, Quot.sound]
